id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,label
59,787,cực thích dịu nhẹ hợp tẩy mỏng nhẹ dày lì nhớ_tẩy,22/06/2021,8:29,5,100230057,good
60,2528,dầu dầu mụn cân_nhắc chăm_sóc thuốc đặc_trị mụn bôi ẩm lâu_thấm cực_kì tối bôi lớp mỏng tóm_lại dầu mụn,15/07/2021,8:34,3,343700002,neutral
61,201,tốt quà tặng tưởng,18/06/2022,9:17,4,422204259,good
62,378,dầu rửa mặt dầu cetaphil tiết_kiệm hợp_lý cetaphil tích tương_đương,31/05/2024,22:45,4,422208974,good
63,223,tẩy sạch lớp dầu ẩm không_bị khô,14/02/2022,20:59,5,205100136,good
64,1467,hợp bọt siêu_thích giá,10/2/2022,7:41,5,204900004,good
65,1487,cực thích srm xài lâu_dài,10/1/2021,12:01,5,204900004,good
66,324,mùi trái_cây thơm nhẹ_tẩy chết dịu nhẹ không_làm khô giá_cả,12/9/2020,17:15,5,245500009,good
67,142,kích_ứng alcohol tẩy êm_tẩy chống nắng lớp sạch,30/04/2023,12:02,5,422206648,good
68,2553,acne đóng_gói kỹ hàng tiếc lỡ chất_lượng mụn giải_quyết dầu nhờn thâm_lỗ chân_lông,9/11/2020,16:19,5,204100018,good
69,1245,tẩy xài thích,11/6/2023,13:56,5,422212331,good
70,2336,giàng thoải_mái thư_giản,2/5/2023,16:23,5,422205163,good
71,3362,vichy thích lám_mát cự_kỳ thấm cảm_giác khô_thoáng nhẹ,22/06/2019,10:13,5,201600019,good
72,2434,mặt nhạy_cảm mask cực_hợp tiếc mask hàng chờ_đợi mãi mask hàng hasaki mẫu mask,27/02/2021,20:52,5,422205164,good
73,2523,môi thâm thời không_đổi,20/08/2023,14:23,5,200500293,good
74,1282,đi_lại mãi hoài không_thôi,11/10/2021,9:44,5,422216603,good
75,742,tặng bông_tẩy hàng tặng rửa mặt,16/09/2022,13:35,4,200400003,good
76,1370,ẩm_ổn vết thâm mờ tốt thâm cũ mờ,15/04/2023,16:18,3,318900002,neutral
77,384,siêu_cấp nhạy_cảm kcn kích_ứng lập_tức rửa mặt không_hề lọ mụn lớp đẹp mặt không_vân_không_dễ trôi đi mồ_hôi trôi sạch không_đổ mùi cồn mắt ưng vô_cùng làn mụn tẩy kỹ,29/10/2023,9:58,5,422212097,good
78,1061,nắp hồng_dịu nhẹ lành_tính lắm,15/08/2023,0:07,5,422204910,good
79,3533,viêm tiết_bã mụn rosacea_xài hầu_như không_hợp hỗn_hợp thiên_khô khô rửa mặt ẩm kích_ứng đỏ hôm nổi vết kết_hợp dưỡng mỏng nhẹ cerave bioderma cicabio ẩm kết_hợp chất dày hợp nằm tóm_lại hợp dầu hỗn_hợp thiên_dầu xài kết_hợp đi ngủ dưỡng ẩm,18/12/2022,12:22,4,422202629,good
80,469,kcn tặng srm thời_hạn,10/5/2023,13:14,5,204900013,good
81,1944,,18/11/2023,15:41,5,422209262,good
82,306,tẩy sạch giá,3/1/2021,10:11,4,205100146,good
83,421,hỗn_hợp thiên_dầu ẻm không_hề khô căng dạng suốt bọt mặt mụn_ẩn trộm_vía không_bị đẩy giá hơi,14/11/2022,7:43,5,422208975,good
84,270,thâm_mờ hẳn đỡ mụn viêm kiên_trì tuần hẳn,27/03/2022,19:06,5,327500002,good
85,2382,nhẹ_nhàng thoải_mái thư_giãn,29/04/2023,12:40,5,308500015,good
86,1490,rửa cảm_giác sạch nhẹ rửa bọt mịn thơm cực thích,2/11/2020,11:57,5,204900056,good
87,2498,mùi hương dễ_chịu mát giá_thành ổn,3/5/2023,18:13,5,422206537,good
88,1972,mát dịu thích lắm giá thích_hợp cho_viên,20/07/2023,19:01,5,100150059,good
89,1348,xài chất màu tím chất sửa màu hồng_nhạt mùi dê mỏng nhẹ không_bị đổ dầu,22/05/2021,13:24,5,422207414,good
91,801,,13/10/2020,19:19,5,100230064,good
92,679,dễ_dàng thoải_mái thư_giãn,2/5/2023,10:00,5,422205164,good
93,138,đắp mê,2/7/2023,20:04,5,422205809,good
94,1394,dầu mụn xài mát nhẹ mặt tối mặt chảo dầu mụn cồn,5/10/2021,12:11,3,422200305,neutral
95,350,ổn không_bị,6/8/2022,14:11,5,422203301,good
96,715,tốt,20/04/2023,10:06,5,200400004,good
97,1734,mùi dễ_chịu,20/11/2023,10:08,5,100220037,good
98,3854,lọ nhỏ_xíu giá đắt lọ thất_vọng,28/03/2022,14:56,1,100210020,bad
99,2241,lọ thử trắng mịn kiếm mãi hợp_mặt nhạy_cảm lọ,10/10/2023,20:20,5,206400009,good
100,689,thành ổn,1/5/2023,9:30,5,204100019,good
101,140,treatment tretinoin khô nhạy_cảm xịt_khoáng ẩm dịu không_thôi mà_còn chất dịu ưng vòi xịt sương thấm,13/12/2023,23:42,5,204100078,good
102,415,,15/03/2023,7:31,5,422208974,good
103,35,hiệu_quả cực_kì giá_thành,17/04/2023,13:48,5,100230059,good
104,4319,lỏng đổ rahari hiệu trắng,11/4/2020,17:53,4,223600032,good
105,403,tốt,15/04/2023,20:27,5,422208972,good
106,616,chống nắng ổn kháng bụi không_nặng mặt thấm_không_lên tông_trừ hương_liệu hơi gắt_không_hợp,27/03/2022,2:21,4,253900006,good
107,1162,xài bình_thường finish đẹp nhma hôm ẩm khô tróc_đồ nhẹ,2/9/2023,17:31,4,422217292,good
108,2438,mặt xài tốt,8/11/2020,0:07,5,422205162,good
109,2466,hàng review,18/06/2019,16:19,5,422205160,good
110,236,đỉnh,30/11/2021,21:32,5,422204259,good
111,3338,sữa chống nắng xài tốt mỏng nhẹ thấm mùi cồn,4/10/2019,19:19,4,223600010,good
112,1453,dầu srm rửa sạch sâu khô_bênh cánh mũi nguyên mặt căng,20/08/2022,11:48,3,204900159,neutral
113,2427,đắp đốt mụn sưng hẵn sạch sợi bã,2/6/2021,12:25,5,422202253,good
114,341,tẩy hậu_cảm tốt cảm_giác tự_nhiên không_nhờn rít mùi hơi khó_chịu dễ_tính mùi không_khó mát mịn rẻ hậu_cảm tốt,14/03/2020,15:54,5,422211446,good
116,56,ẩm tốt dịu nhẹ nhạy_cảm_không_mùi thích,1/8/2022,22:43,5,318900012,good
117,2456,mặt_nạ đắp hiệu_quả miếng đắp thử đắp trắng trông,10/2/2020,16:15,5,308500013,good
118,966,hỗn_hợp dầu chữ khô má dịu nhẹ ẩm tốt bình hết_nhiên vòi bơm giăng,29/03/2023,15:47,5,357100004,good
119,2986,tiện_lợi thử ngứa_mẫn đỏ xài retinol không_đủ ẩm_xài đỡ thử bé tư_vấn tốt,7/8/2023,16:06,5,422200342,good
120,1711,bha xài êm_không_có cảm_giác châm chích khô rát khô thích bôi hơi cảm_giác dầu dậy rửa mặt mướt mọng không_bị khô kiên_trì mụn sạch lỗ chân lông,6/5/2024,7:14,5,100220035,good
121,2749,dâu thích không_bị khô tiếp,13/10/2022,20:51,5,331300002,good
122,676,hàng không_khác,17/01/2023,16:16,3,226200018,neutral
123,1495,tốt,30/04/2020,20:11,5,204900159,good
125,2753,tốt mỏng mịn thấm chống nắng,11/6/2022,12:45,5,422211276,good
126,704,thích hasaki tẩy,28/04/2023,18:42,5,100230057,good
127,2140,hôm yên_tâm kiếm số_lượng đơn hàng hàng hộp không_có_mác dấu_hiệu nhắn shop hơi,21/02/2024,8:23,4,422209841,good
128,404,,9/4/2023,21:46,4,200400003,good
129,2796,bác_sĩ thẩm_mĩ liễu bôi lazer dịu nhẹ hiệu_quả,24/09/2024,15:13,5,100180113,good
130,253,không_đọc kỹ chữ tảy tặng hàng hasaki giá_cả hợp_lý hàng hãng yên_tâm,12/8/2021,8:37,4,205100146,good
131,691,mùi hương dễ_chịu mát giá_thành ổn,30/04/2023,16:45,5,204100054,good
132,701,thích hasaki tẩy,29/04/2023,18:34,5,100230064,good
133,1220,shop,25/10/2020,13:38,5,422217292,good
134,2195,tặng kèm,23/08/2022,7:32,4,249500028,good
135,4038,dùg miếng mask hơi dão không_ôm cương ngọc_dùg thích,19/01/2021,0:34,5,365000013,good
136,2308,rât_hợp dầu mụn,2/8/2024,21:59,5,422205164,good
137,2385,mùi hương dễ_chịu mát giá_thành ổn,29/04/2023,11:21,3,204100019,neutral
138,2327,mùi hương dễ_chịu giá_thành rẻ,3/5/2023,17:48,5,204100019,good
139,145,phẩm tốt túi_tiền hiệu_quả,19/04/2023,20:48,5,422211446,good
140,2891,hồi bình_thường kết_hợp uống thần hãng đi trắng hẳn mỹ đen_dị chân_ái đời,8/1/2021,8:23,5,358300002,good
141,35,thích lắm,17/04/2023,13:44,5,318900011,good
142,3972,bọt sạch mà_còn ẩm tốt rửa tẩy_kĩ cảm_nhận tác_dụng srm dòng dược mỹ_phẩm đồng_tiền,29/10/2022,21:52,5,331300002,good
143,162,hàng tốt nâng tone giá hơi,9/1/2021,6:40,3,248700035,neutral
144,1144,srm dịu nhẹ không_gây_kích_ứng nhạy_cảm dầu mụn rửa không_bị khô_kích_ứng đổi srm hãng nổi mụn viêm đỏ,7/8/2023,14:20,5,422218629,good
145,672,dễ_dàng thoải_mái thư_giãn,4/5/2023,16:47,5,308500004,good
146,171,serum dạng dầu không_rửa_mặt hơi dính,18/11/2022,0:24,4,422206648,good
147,2665,tệ_bụi gĩu,10/4/2022,12:23,1,243300007,bad
149,3317,kém_bền hỏng,12/11/2021,10:02,1,308500037,bad
150,562,xài xài không_bị dầu mặt_mũi không_bị bóng bôi chút tán mặt không_bị vón,20/04/2021,11:08,5,204900013,good
151,745,ap tặng bông_tẩy không_thấy tặng,29/08/2022,8:59,5,200400004,good
152,3342,mask xài thích mát đầu hơi châm_chích dịu nốt mụn xẹp ưng lắm tủ_lạnh xài_thích,14/08/2020,13:40,5,308100018,good
153,3684,hài_lòng,17/03/2022,11:49,5,226200017,good
154,205,ổn lớp bóng nhẹ srm,19/05/2022,23:21,5,422211446,good
155,680,,30/04/2023,14:33,5,308500013,good
156,256,đỉnh tẩy dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004,good
157,1074,tẩy sạch cực_kỳ nhạy_cảm thiên_dầu đỏ,18/12/2022,18:50,5,422201504,good
158,1292,tốt_dịu nhẹ bọt mịn mặt ẩm_không_hề khô,15/05/2019,11:49,5,204900056,good
159,2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004,good
160,2105,rửa mặt sạch không_bị khô,24/06/2021,5:49,5,422211501,good
162,2453,,30/03/2020,0:37,5,308500018,good
163,1428,mụn srm,6/1/2021,17:24,5,422217029,good
164,695,dễ_dàng thoải_mái thư_giản,29/04/2023,11:43,5,308500009,good
165,3116,tẩy rẻ,7/2/2024,11:07,5,223600035,good
166,1492,tôt,16/10/2020,10:37,5,100230069,good
167,3015,,15/12/2016,12:33,5,100150066,good
168,792,rát sạch không_thích lắm hơi rít nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010,neutral
169,1895,chân_ái đời viêm mụn đỏ tối_đắp ngủ hôm viêm,12/4/2024,21:35,5,422205163,good
170,788,hàng hãng đàng_hoàng dầu hỗn_hợp xài lắm không_nhất_thiết nhạy_cảm_xài hãng,17/06/2021,9:42,5,100230064,good
171,3873,xài mặt cổ tông_í thâm_mụn mờ,2/4/2023,9:25,5,422208242,good
172,2459,,10/1/2020,14:31,5,308500009,good
173,157,dòng nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_tạo bọt trượt không_mượt bù tẩy sạch_sẽ lớp kcn cushion sương sương miếng không_lên mụn_ẩn giá công_dụng độ toàn chấm,30/01/2023,11:22,5,422211446,good
174,2418,xài nhảy_cảm xài mừng,13/08/2021,17:20,5,343100028,good
175,243,,6/10/2021,22:27,5,422208807,good
176,1083,kỹ bảng thành_phần không_ẻm mùi ẻm mùi mùi dễ_chịu brand_pháp mùi ẻm sạch dòng oréal xài nma tốt,5/6/2022,22:38,5,422204906,good
177,2143,dư_retinol viderm tầm tuần retinol zo_dỡ không_hợp cầu,15/04/2023,18:34,5,310100003,good
178,858,hasaki hàng tác_dụng lắm,8/4/2024,22:06,5,214000001,good
179,409,tốt,11/4/2023,15:37,5,100230057,good
180,1513,ẩm mịn trắng sài hũ đêm trắng chống nắng hơi tán,8/6/2023,20:18,5,422211548,good
181,273,hợp dầu,26/06/2021,23:08,5,422208807,good
182,4390,tẩy toàn nhẹ_nhàng mặt thường_ngày tẩy chống nắng mùi dễ_chịu thích,22/10/2017,2:34,5,100750038,good
185,1670,chất đặc thấm không_nhờn bóng dầu mụn thích,9/12/2021,11:18,5,318900019,good
186,545,mặt_nạ tác_dụng thải độc_không_mà đắp mặt,15/05/2021,20:22,4,365000014,good
187,409,tốt,11/4/2023,15:37,5,200400004,good
188,2305,tạm ổn thích evene,26/12/2016,7:44,4,100150058,good
189,712,,27/04/2023,17:29,5,308500015,good
190,1149,không_thấy hàng tặng,11/1/2023,15:22,5,422218631,good
191,262,hài_lòng,15/07/2021,21:58,4,357100011,good
192,135,phục_hồi,22/10/2024,6:08,5,422217972,good
193,2052,đợt sài mùi hắc khó_chịu sài bết không_bật,14/09/2022,9:58,1,422207413,bad
194,815,,24/02/2020,23:20,5,422216594,good
195,441,cửa_hàng tặng kèm tuýp rửa mặt chất màu vàng thấm tốt finish ổn không_bị vón bện trắng cũ thích_bản cũ nâng tông_bản không_nên dặm phấn_phủ không_nhìn mặt_mũi xám_nghét,23/10/2023,13:11,5,204900013,good
196,1114,không_hợp lắm hơi thấm cộng chất_mềm mịn mùi thơm,30/10/2021,1:27,3,223600040,neutral
197,2659,thích dày không_bị,30/06/2022,12:06,5,422203809,good
198,2596,mềm,20/11/2018,19:16,5,100230069,good
199,761,cực_hợp bóng nhờn nổi mụn kiềm dầu tốt,13/02/2022,17:32,5,204100003,good
200,16,tốt tầm giá không_tẩy mascara_lì hàng tẩy chống nắng dầu mụn_xài,14/10/2023,16:54,5,205100136,good
202,2214,hàng đẹp hình,15/01/2021,14:47,5,206200079,good
204,2638,tẩy xài giá_cả,20/11/2023,20:36,5,422203301,good
205,2260,mịn lắm mùi hơi nồng,23/04/2021,2:03,5,245500001,good
206,2372,dễ_dàng thoải_mái thư_giãn,29/04/2023,19:36,5,422205163,good
207,2953,,13/12/2019,10:37,5,200500283,good
208,409,tốt,11/4/2023,15:37,5,100230059,good
209,246,giá rẻ shop tặng không_thấy,22/09/2021,18:30,5,422211446,good
210,2288,màu đổi màu hồng màu hồng đi mềm_mịn,31/05/2022,14:39,5,223600017,good
211,3007,srm mịn mùi không_hăng lắm nhẹ nhẹ đầu sài không_nên bọt bọt cồn rửa rít ngược_lại rửa cảm_nhận srm thiên_nhiên hóa chất,20/02/2022,14:03,5,253900007,good
212,703,dễ_dàng thoải_mái thư_giãn,28/04/2023,12:34,5,422205163,good
213,2319,dễ_dàng thoải_mái thư_giãn,4/5/2023,17:45,5,308500009,good
214,350,xài xài tẩy nhẹ dịu_tẩy độ_ẩm không_bị căng_rít hãng tẩy,29/09/2019,10:10,5,205100137,good
215,709,thích hasaki tẩy,27/04/2023,19:27,5,100230056,good
216,189,xài tuýp cảm_nhận xài thích chất thấm,16/11/2022,9:16,5,422203617,good
218,1734,mùi dễ_chịu,20/11/2023,10:08,5,422206042,good
219,2927,mặt_nạ chất tiếc_chất chất_dư mặt đắp mặt_nạ ẩm tốt mụn nội_tiết trộm_vía đắp dịu dịu,29/04/2024,23:25,5,422207148,good
220,1478,srm sạch tốt kiềm dầu tốt hơi khô,13/08/2021,20:06,5,204900004,good
221,815,,24/02/2020,23:20,5,100230064,good
222,749,chuẩn_tẩy quốc_dân,21/07/2022,20:04,5,200400003,good
223,4298,thử mặt_nạ peptide some má lành thuần_dịu đỏ_dưỡng chất không_bị nhễ_nhại,11/3/2024,21:32,5,422205635,good
224,1157,mặt_nạ đắp ổn ôm khít mặt không_châm,10/8/2024,21:43,5,422212871,good
225,2460,thích cực mát xẹp nốt mụn sưng đêm dầu hạn_chế tiết dầu tốt,10/11/2019,19:55,5,422205162,good
226,2221,nhạy_cảm không_bị,25/07/2023,16:55,5,211300005,good
227,581,đọc nhận_xét chê tùy hợp không_thôi trắng dầu nhẹ sài tệp thấm hơi mùi tiếng tệp hẳn kcn mặc_dù thâm chỗ rỗ mụn không_bị mụn mà_còn,27/11/2023,15:44,5,253900006,good
228,1594,xài pl xài tuýp mụn nhma chậm lắm thâm hầu_như không_cải_thiện,11/2/2023,18:12,4,327500002,good
229,1665,mùi không_quá mát má màu lắm phục_hồi ổn bôi thấm áp kiểu thấm hôm ngủ dậy rửa mặt nhờn nhờn chứng_tỏ vẩn ổn,9/3/2022,12:23,5,318900005,good
230,3111,sản_phẩn tốt không_mùi hương_liệu thích chất đặc_thẩm_thấu căng mướt,17/05/2021,20:15,5,204100013,good
231,695,thích hasaki tẩy,29/04/2023,18:46,5,200400004,good
232,2285,nhạy_cảm nặn mụn xịt_khoáng ổn_áp mềm,21/07/2023,10:50,5,100150059,good
233,684,thích hasaki tẩy,30/04/2023,18:47,5,100230057,good
234,3876,dưỡng natrue ẩm tốt màu tư_vấn thử,25/01/2024,21:30,5,248700076,good
235,4114,tẩy tế_bào chết tốt thơm,18/11/2023,17:04,5,422207812,good
236,1176,dầu mụn ổn không_bị mụn không_thấy nâng_tông chống nắng kém,22/08/2022,19:46,3,249500013,neutral
237,1051,không_bí không_đổ dầu_dưỡng ẩm_nhẹ lớp mỏng xịn,30/04/2021,17:40,5,248700035,good
238,722,,14/04/2023,13:58,5,100230056,good
239,336,,25/04/2020,22:17,5,205100146,good
240,2662,bịch_bịch tệ_dập không_kỹ bét tùm rụng bịch không_nữa buồn,21/05/2022,10:07,1,243300007,bad
241,3463,kcn mẫn_cảm thử dòng ưng_ý giá tặng mắt_kính,23/05/2024,13:39,5,343100024,good
242,368,sạch sâu lớp nhẹ_nhàng không_nhờn rít,26/10/2018,19:15,5,422206648,good
243,257,giá rẻ shop hàng bọc,8/8/2021,20:26,5,422200306,good
244,1188,hsd quà tặng kèm,11/6/2022,10:51,5,249500013,good
245,4233,chất_lượng tốt mụn gân uống thuốc,26/08/2023,22:34,5,345800008,good
246,429,kcn lảoch không_chê uoi dầu mụn xài lắm không_bị bít_tắc cảm_giác nhờn xài xài mụn,9/8/2024,8:10,5,422216416,good
247,286,thíc,28/05/2021,8:13,5,205100146,good
249,1402,mùi thơm dậy mặt không_bị dầu nặn mụn hơi rát,5/4/2021,20:40,4,422220469,good
250,2349,dễ_dàng thoải_mái thư_giãn,1/5/2023,12:01,5,422205160,good
251,1387,sài lắm hỗn_hợp thiên_dầu không_bết_rít chất thấm_dưỡng ẩm tốt mềm mịn tróc mũi mùa đông hợp giá hơi_chát htmg đỉnh sài hủ tuýt,28/12/2021,21:08,5,422209663,good
252,3666,mùi trà tẩy tế_bào chết tốt không_kích_ứng hơi khô loại_bỏ mụn đầu đen_cực tốt chê,5/9/2021,20:44,5,422206043,good
253,1219,nổi mụn review thử giá mềm không_bí không_lên_tông mùi văn_phòng xài mà_còn mặt cổ kcn,1/11/2020,21:03,5,249500013,good
254,3323,thích nâng tông thấm,24/02/2022,23:46,5,223600034,good
255,3146,tốt,8/8/2024,20:51,5,357100011,good
257,1631,ẩm phục_hồi tốt texture đặc thấm ẩm_mịn treatment khô đỏ đêm dịu hẳn ngủ dậy mặt không_đổ dầu giá serum bù chất_lượng tốt ráng đeo,10/6/2023,11:30,5,422209094,good
258,2094,xài lắm đắp đọc hướng_dẫn đừng đắp,10/4/2021,23:33,5,308500037,good
259,1824,tẩy sạch bụi mịn không_bị khô căng dầu_thừa,21/10/2024,15:54,5,204900010,good
260,2195,tặng kèm,23/08/2022,7:32,4,249500021,good
261,788,hàng hasaki chê giá hời hãng giá hsv túi_tiền rủng_rỉnh skincare siêu_dịu nhẹ lành_tính nhạy_cảm_sợ kích_ứng tập_tành skincare vô_tư hỗn_hợp nhạy_cảm độ dậy xài_không_chê lành_tính chú_trọng toàn ngdung thành hiệu_quả không_vì_thế kiên_trì xài hiệu_quả giá bình_dân không_muốn xài ngửi_kỹ không_nồng nhẹ nhẹ lắm texture thề xài thích cực kiểu lỏng á_aply cảm_giác mát_mát thoáng mặt nhận_xét tóm_lại kiểu á_lười chụp hình,26/06/2021,20:21,5,211300002,good
262,316,bàn_cãi giá rẻ,3/11/2020,10:53,5,205100137,good
263,3324,xài nâng hù_hợp dầu,23/02/2022,13:33,5,223600010,good
264,799,thích lắm mùi dịu nhẹ dầu mụn hasaki,19/12/2020,21:32,5,100230064,good
265,4154,tạm hài_lòng,12/1/2023,14:32,2,422205162,bad
266,2795,mặt_nạ rẻ đẹp bền_dịch ẩm_mịn căng bóng cực,28/12/2020,17:50,5,365000020,good
267,2377,dễ_dàng thoải_mái thư_giãn,29/04/2023,16:14,5,422205162,good
269,336,lắm,28/02/2020,20:48,5,422211489,good
270,2514,khô_xài cực_kì thích đi nắng lớp làn giải_cứu thích_hợp mặt,1/3/2023,2:10,5,248700062,good
271,1633,tẩy chết tạm ổn gét rửa mặt trông căng,10/12/2021,23:47,5,245500002,good
272,396,ưng mặt_nạ,15/04/2024,21:53,5,422218099,good
273,1296,ẩm mờ thâm_hơi lành_tính không_châm_chích bôi vết mụn hơi rát vết_thương,13/07/2023,13:02,5,422211878,good
274,2397,dễ_dàng thoải_mái thư_giãn,27/04/2023,16:32,5,308500009,good
275,809,không_gây kích_ứng mặt,11/8/2020,16:41,5,200400004,good
276,333,tầm giá hồng ẩm_dù khô dầu mụn xài hồng mịn hẳn sạch trị mụn hiệu_quả mụn lặn đi sạch thông_thoáng thấm dầu đậm dầu hồng,26/06/2020,19:36,5,422211447,good
277,1474,dịu nhẹ tốt,28/10/2021,13:41,5,204900056,good
279,3218,thử không_hợp ạ_hợp dùm,16/03/2023,13:31,5,223600034,good
280,229,dòng nổi bọt_hơi,21/01/2022,23:48,4,205100146,good
281,2453,,30/03/2020,0:37,5,308500004,good
282,847,sài mắc tiền,15/01/2023,7:47,5,249500007,good
